Ação,Beta,Alfa,P_Valor_Beta,P_Valor_Alfa,R_Quadrado
AGRO3,1.137191373392143,-0.03801016993367931,2.7880536992830354e-05,0.0034649225811377144,0.49722597180833006
ALUP4,0.5424376480910492,-0.0024124794480733453,3.009365005765135e-05,0.6740169061544388,0.4943614732858901
BALM3,0.11310570400358883,0.00044910759066108116,0.7324355985238422,0.9794283199544196,0.004572404958959941
BBAS3,0.7961797106012347,0.010150610205522515,0.000311525009289411,0.32410520529780185,0.3990694875529964
BBDC3,1.3552234453613823,-0.01740061630573559,5.306448387254062e-08,0.07779977386327237,0.6860300171112619
BMIN4,-0.10759610152889974,-0.00756339148910444,0.6515512005506537,0.5475887105758206,0.007964514472574735
CEAB3,2.5199602697274313,0.020997498954509017,0.0008996345328114735,0.5586501857086696,0.3507307662371214
CEEB3,0.4251146978452787,0.004692396053096792,0.020486692628511622,0.6096322618847135,0.189799189987778
CMIG4,0.5272141772801142,-6.894992446539704e-05,0.030637908007927154,0.9955171917337532,0.16737370576133925
CSMG3,0.9052672987005203,-0.00555377345997613,0.006681334437455851,0.7342852003868197,0.2504686089989966
ENGI4,1.16471399203005,-0.005042662351835049,7.6044747895184025e-06,0.6513386602678064,0.5436660546742689
GGBR4,1.0290218177110841,-0.017808135838172142,0.0031309705640229133,0.2947863711188629,0.28970726879192454
ITSA4,1.1728769001004475,0.005187105251661803,2.848136165424559e-09,0.4670295845329754,0.7485238217168577
ITUB3,1.1701710668982455,0.00807963272870498,2.672451533108483e-08,0.3147754609207512,0.7019294231579238
PETR3,0.46530578566629277,-0.015252308414059381,0.10545536517832764,0.30646806302589236,0.09764645403649452
SAPR4,0.507397617019034,0.003943997913536635,0.03496278851214883,0.7454276182069626,0.15996251651810245
SBSP3,1.1464471993060663,0.024885734443431104,1.2148295190444667e-06,0.015720891336190826,0.6023237038022897
SOJA3,1.0796824175939048,-0.0035037519374356563,0.0029779525448160728,0.8416902124328813,0.29224521020497773
TAEE4,0.6059167111087367,-0.012600388293379304,0.0004794495019342873,0.12748665069743953,0.37981068526463946
VALE3,0.38090649339823546,-0.006257494713337438,0.20069955325064423,0.6857433037272476,0.062171203776238526
